,title,date,result,explain,tag
248,26日晚央视新闻，白岩松将邀请钟南山院士介绍疫情,2020-01-26,假,谣言,['']
249,泰国移民局发文，不想回国的最长可给予2个月续签,2020-01-26,假,谣言,"['泰国', '续签']"
250,为防控疫情，北京市即将封城,2020-01-26,假,谣言,"['北京', '封城']"
251,深圳1月27日开始封城,2020-01-26,假,谣言,"['深圳', '新型冠状病毒']"
252,打开家里空调和取暖器，室温增高到30度能抗肺炎,2020-01-26,疑,有失实,"['空调', '新型冠状病毒']"
253,大蒜水可以治好冠状病毒肺炎，要多喝大蒜水,2020-01-26,假,谣言,"['肺炎', '新型冠状病毒']"
254,武汉至上海旅游的5人入住建国宾馆并全部感染,2020-01-26,假,谣言,"['上海', '新型冠状病毒']"
255,杭州封城防控新型肺炎,2020-01-26,假,谣言,"['肺炎', '杭州']"
256,好消息再传来：新冠肺炎疫苗出来啦！,2020-01-26,假,谣言,"['新型冠状病毒肺炎', '疫苗']"
257,风油精能抑制病毒感染,2020-01-26,假,谣言,"['肺炎', '新型冠状病毒']"
258,吃辣椒能降低新型冠状病毒肺炎死亡风险,2020-01-26,假,伪科学,"['新型冠状病毒', '辣椒']"
259,大庆人明天不要出门，政府会安排飞机洒药消毒,2020-01-26,假,谣言,"['大庆', '洒药']"
260,家养的宠物会传染新型冠状病毒,2020-01-26,疑,尚无定论,"['肺炎', '新型冠状病毒']"
261,大部分新型肺炎患者只需2-4周就可被治愈,2020-01-26,真,确实如此,"['新型冠状病毒肺炎', '治疗']"
262,多吃草莓可以预防新型冠状病毒肺炎,2020-01-26,假,谣言,"['草莓', '新型冠状病毒肺炎']"
263,养猫养狗能抗新型冠状病毒肺炎,2020-01-26,假,伪科学,"['肺炎', '新型冠状病毒']"
264,新型冠状病毒在潜伏期会传染,2020-01-26,真,确实如此,"['肺炎', '新型冠状病毒']"
265,维C可以预防新型冠状病毒肺炎,2020-01-26,假,伪科学,"['肺炎', '新型冠状病毒']"
266,新型冠状病毒是SARS病毒的进化,2020-01-26,假,谣言,"['肺炎', '新型冠状病毒']"
267,明天早上四点杭州飞机洒消毒药水，大家别出门,2020-01-26,假,谣言,"['杭州', '消毒药水']"
268,一香港人在南京鼓楼医院因新冠肺炎去世,2020-01-26,假,谣言,"['香港', '新型冠状肺炎病毒']"
269,钟南山院士建议：全中国人民在家隔离两周,2020-01-25,假,谣言,"['钟南山', '隔离']"
270,湖南长沙：发现武汉牌照车辆就拨打疾控中心电话,2020-01-25,假,谣言,"['肺炎', '新型冠状病毒']"
271,浙BL0535车上人员感染病毒正前往某地,2020-01-25,假,谣言,"['北京', '武汉']"
272,带呼吸阀的N95口罩对新型冠状病毒没有防护作用,2020-01-25,假,伪科学,"['新型冠状病毒', '口罩']"
273,北京高速为防控疫情封路“只出不进”,2020-01-25,假,谣言,"['肺炎', '新型冠状病毒']"
274,上海目前除沪牌不让外地车进上海,2020-01-25,假,谣言,"['上海', '交通限制']"
275,新型冠状病毒肺炎定名为SARI ,2020-01-25,假,谣言,"['肺炎', '新型冠状病毒']"
276,钟南山院士被传染,2020-01-25,假,谣言,"['钟南山', '新型冠状病毒']"
277,湖北新华医院耳鼻喉科医生梁武东因感染新冠肺炎去世,2020-01-25,疑,尚无定论,"['新型冠状病毒', '肺炎']"
278,抗艾滋药物洛匹那韦利托那韦片可有效治疗武汉肺炎,2020-01-25,疑,存在争议,"['肺炎', '新型冠状病毒']"
279,河南信阳今天下午两点封城,2020-01-25,假,谣言,"['信阳', '肺炎']"
280,大蒜咬碎后嘴里含一会儿，胜过杀病毒的口腔药物,2020-01-25,假,伪科学,"['大蒜', '新型冠状病毒']"
281,西安一名新型肺炎患者从医院逃离 ,2020-01-25,假,谣言,"['西安', '肺炎']"
282,新加坡拒绝超过116名来自武汉的旅客入境,2020-01-25,假,谣言,"['肺炎', '新型冠状病毒']"
283,N95口罩也是需要4个小时一换,2020-01-25,疑,分情况,"['N95', '口罩']"
284,郑州上午九点到十一点将空中喷洒消杀药物,2020-01-25,假,谣言,"['肺炎', '新型冠状病毒']"
285,吃香蕉会得新型冠状病毒肺炎,2020-01-25,假,谣言,"['香蕉', '新型冠状病毒']"
286,新加坡抵杭州航班有2名乘客发烧，全体乘客被隔离,2020-01-25,真,确有此事,"['新加坡', '杭州']"
287,四川高速封路,2020-01-25,假,谣言,"['四川', '高速封路']"
288,武汉市第四医院武胜路院区急诊停诊,2020-01-25,假,谣言,"['肺炎', '新型冠状病毒']"
289,武汉“小汤山”将停工，重新选址,2020-01-24,假,假新闻,"['肺炎', '小汤山']"
290,深圳49家医院可免费领口罩,2020-01-24,假,谣言,"['肺炎', '新型冠状病毒']"
291,小磨香油滴在鼻孔，可以阻断一切的流感和瘟疫传染,2020-01-24,假,伪科学,"['香油', '流感']"
292,汉口全封闭汉阳强限制武昌弱限制,2020-01-24,假,谣言,"['汉口', '肺炎']"
293,钟南山院士表示目前已有药物准备用于肺炎临床治疗,2020-01-24,真,确实如此,"['肺炎', '新型冠状病毒']"
294,湘雅医院搭帐篷，以安置从武汉来的病人,2020-01-24,假,谣言,"['湘雅医院', '肺炎']"
295,武汉将断网，以禁止医务人员分享相关信息,2020-01-24,假,谣言,"['肺炎', '新型冠状病毒']"
296,湖北经视主持人记者戴口罩播报新闻,2020-01-24,假,谣言,"['主播', '口罩']"
297,周杰伦去福州参加活动，自备隔离箱,2020-01-24,假,谣言,"['周杰伦', '隔离箱']"
298,武汉三口之家迪士尼游玩确诊新型冠状病毒肺炎,2020-01-23,假,谣言,"['新型冠状病毒', '迪斯尼']"
299,武汉加油站停止营业,2020-01-23,假,谣言,"['加油站', '肺炎']"
